Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1636570674.3122802,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.3373077,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.3621535,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.387163,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.4122186,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.4371767,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.46218,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.4871821,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.5122538,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.5372524,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.562155,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.5872035,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.6122546,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.637178,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.6621165,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.6873064,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.7121792,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.7372372,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.7621298,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.7874937,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.8122597,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.837257,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.8621569,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.8871684,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.9145975,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.9371808,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.9621787,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.9872882,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.0124514,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.0372071,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.0622518,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.0871608,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.1122196,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.1371987,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.1621416,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.1873913,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.212199,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.2371743,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.2621365,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.2891195,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.3121836,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.3373325,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.3621702,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.3871887,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.4122055,0.0,0.0,0.0,0.0,0.0,0.0
