Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10
1636570668.5344956,63713,1636570668,534371634,joystick,-1.0,0.1185644119977951,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.551122,63714,1636570668,551022596,joystick,-1.0,0.1185644119977951,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.567778,63715,1636570668,567677524,joystick,-1.0,0.1185644119977951,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.5845618,63716,1636570668,584376185,joystick,-1.0,0.1185644119977951,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.6012352,63717,1636570668,601054741,joystick,-1.0,0.1422772854566574,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.6193302,63718,1636570668,619204416,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.6345375,63719,1636570668,634361620,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.6512046,63720,1636570668,651025874,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.6679323,63721,1636570668,667714414,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.6844425,63722,1636570668,684359926,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.7012265,63723,1636570668,701022671,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.71778,63724,1636570668,717683072,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.7345142,63725,1636570668,734365773,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.751207,63726,1636570668,751028895,joystick,-1.0,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.7678597,63727,1636570668,767694674,joystick,-0.9565416574478149,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
